,Mkt-RF,SMB,HML,RF
20190102,0.23,0.56,1.1,0.01
20190103,-2.45,0.4,1.21,0.01
20190104,3.55,0.41,-0.7,0.01
20190107,0.94,0.97,-0.77,0.01
20190108,1.01,0.53,-0.64,0.01
20190109,0.56,0.45,0.09,0.01
20190110,0.42,0.03,-0.44,0.01
20190111,-0.01,0.13,0.22,0.01
20190114,-0.6,-0.6,0.95,0.01
20190115,1.06,0.01,-0.87,0.01
20190116,0.28,0.03,0.92,0.01
20190117,0.75,0.11,-0.25,0.01
20190118,1.29,-0.35,0.12,0.01
20190122,-1.53,-0.4,0.33,0.01
20190123,0.15,-0.39,-0.15,0.01
20190124,0.23,0.43,-0.02,0.01
20190125,0.9,0.45,-0.34,0.01
20190128,-0.8,-0.17,0.64,0.01
20190129,-0.19,-0.02,0.18,0.01
20190130,1.51,-0.12,-0.95,0.01
20190131,0.92,0.14,-1.07,0.01
20190201,0.14,-0.15,0.4,0.01
20190204,0.72,0.49,-0.47,0.01
20190205,0.43,-0.08,-0.59,0.01
20190206,-0.22,-0.02,0.07,0.01
20190207,-0.93,-0.12,0.38,0.01
20190208,0.09,0.05,-0.7,0.01
20190211,0.14,0.65,0.22,0.01
20190212,1.36,0.02,-0.19,0.01
20190213,0.28,0.08,0.06,0.01
20190214,-0.21,0.53,-0.57,0.01
20190215,1.13,0.24,0.47,0.01
20190219,0.19,0.28,0.29,0.01
20190220,0.19,0.23,0.55,0.01
20190221,-0.37,-0.06,-0.21,0.01
20190222,0.65,0.56,-1.46,0.01
20190225,0.15,-0.24,-0.18,0.01
20190226,-0.16,-0.63,-0.3,0.01
20190227,0.09,0.2,-0.11,0.01
20190228,-0.31,0.02,-0.24,0.01
20190301,0.72,0.29,-0.41,0.009
20190304,-0.52,-0.42,0.37,0.009
20190305,-0.17,-0.31,-0.23,0.009
20190306,-0.84,-1.26,0.07,0.009
20190307,-0.82,-0.06,-0.32,0.009
20190308,-0.22,0.06,-0.17,0.009
20190311,1.49,0.35,-0.54,0.009
20190312,0.25,-0.27,-0.09,0.009
20190313,0.68,-0.32,0.08,0.009
20190314,-0.1,-0.4,0.3,0.009
20190315,0.48,-0.27,-0.27,0.009
20190318,0.46,0.13,0.43,0.009
20190319,-0.09,-0.38,-0.92,0.009
20190320,-0.39,0.02,-1.02,0.009
20190321,1.11,0.3,-1.24,0.009
20190322,-2.17,-1.51,-0.06,0.009
20190325,-0.05,0.66,-0.27,0.009
20190326,0.76,0.17,0.45,0.009
20190327,-0.5,0.09,0.49,0.009
20190328,0.4,0.35,0.02,0.009
20190329,0.66,-0.21,-0.92,0.009
20190401,1.19,-0.32,0.97,0.01
